"";"country";"year";"imports";"exports"
"334";"Denmark";1995;45,1997;51,8607
"335";"Germany";1995;426,902;436,181
"336";"Estonia";1995;2,18687;1,9692
"337";"Ireland";1995;33,0948;38,8783
"338";"Greece";1995;23,74005;15,09779
"339";"Spain";1995;107,3659;102,8337
"340";"France";1995;256,9548;275,9166
"341";"Croatia";1995;6,14851;4,72978
"342";"Italy";1995;188,6969;221,5913
"343";"Cyprus";1995;5,13694;5,07132
"344";"Latvia";1995;1,6262;1,43
"345";"Lithuania";1995;2,4479;1,90332
"346";"Luxembourg";1995;13,5599;16,917
"347";"Hungary";1995;13,8725;13,884
"348";"Malta";1995;3,7259;3,45908
"349";"Netherlands";1995;173,4055;196,7906
"350";"Austria";1995;63,959;61,8187
"351";"Poland";1995;22,5236;24,9618
"352";"Portugal";1995;30,1669;24,36324
"353";"Romania";1995;8,76659;7,3281
"354";"Slovenia";1995;7,79093;7,42468
"355";"Slovakia";1995;8,3245;8,64976
"356";"Finland";1995;29,05711;36,71041
"357";"Sweden";1995;63,8306;76,7053
"358";"United Kingdom";1995;253,8463;256,7348
"359";"Belgium";1996;127,7168;133,9805
"360";"Bulgaria";1996;3,62569;4,7111
"361";"Denmark";1996;46,5044;54,8775
"362";"Germany";1996;435,802;451,991
"363";"Estonia";1996;2,70301;2,31022
"364";"Ireland";1996;38,1858;44,7206
"365";"Greece";1996;26,66936;16,41688
"366";"Spain";1996;117,2355;116,7729
"367";"France";1996;268,5413;290,2688
"368";"Croatia";1996;6,9515;5,73329
"369";"Italy";1996;198,1581;244,9967
"370";"Cyprus";1996;5,57368;5,53947
"371";"Latvia";1996;2,32469;1,90098
"372";"Lithuania";1996;3,38342;2,7697
"373";"Luxembourg";1996;14,3956;18,2757
"374";"Hungary";1996;15,1967;15,3823
"375";"Malta";1996;3,70099;3,42041
"376";"Netherlands";1996;180,7878;202,4281
"377";"Austria";1996;66,9351;64,0351
"378";"Poland";1996;29,4607;27,8399
"379";"Portugal";1996;32,52594;25,65132
"380";"Romania";1996;9,96561;7,68168
"381";"Slovenia";1996;8,02881;7,81741
"382";"Slovakia";1996;10,69308;8,88367
"383";"Finland";1996;30,62043;37,82386
"384";"Sweden";1996;69,5584;83,5764
"385";"United Kingdom";1996;283,4573;285,4283
"386";"Belgium";1997;135,9914;143,6984
"387";"Bulgaria";1997;3,69199;4,96196
"388";"Denmark";1997;51,2361;57,9094
"389";"Germany";1997;474,141;497,309
"390";"Estonia";1997;3,6734;3,20499
"391";"Ireland";1997;47,6331;56,3928
"392";"Greece";1997;29,12703;20,49744
"393";"Spain";1997;132,7;133,8183
"394";"France";1997;288,0156;325,4579
"395";"Croatia";1997;9,29948;6,58527
"396";"Italy";1997;224,0277;264,7043
"397";"Cyprus";1997;5,93858;5,82147
"398";"Latvia";1997;2,8031;2,28326
"399";"Lithuania";1997;4,91215;4,01295
"400";"Luxembourg";1997;16,498;20,1745
"401";"Hungary";1997;19,5641;19,9798
"402";"Malta";1997;3,84743;3,68541
"403";"Netherlands";1997;197,1777;220,7528
"404";"Austria";1997;71,0095;69,5588
"405";"Poland";1997;38,0794;32,8057
"406";"Portugal";1997;36,31304;28,05007
"407";"Romania";1997;11,00549;8,86433
"408";"Slovenia";1997;8,92208;8,71364
"409";"Slovakia";1997;12,44281;10,6275
"410";"Finland";1997;34,10739;42,32333
"411";"Sweden";1997;77,2643;93,4843
"412";"United Kingdom";1997;340,3981;345,9275
"413";"Belgium";1998;139,924;147,6324
"414";"Bulgaria";1998;4,71705;5,63584
